Credit_Creation_Month,MOB,OVER_30
2024-06-30,17,0.0645
2024-06-30,18,0.0628
2024-07-31,2,0.0655
2024-07-31,3,0.0645
2024-07-31,4,0.0661
2024-07-31,5,0.0677
2024-07-31,6,0.0689
2024-07-31,7,0.0695
2024-07-31,8,0.07
2024-07-31,9,0.0692
2024-07-31,10,0.069
2024-07-31,11,0.0689
2024-07-31,12,0.068
2024-07-31,13,0.0673
2024-07-31,14,0.0663
2024-07-31,15,0.0651
2024-07-31,16,0.0631
2024-07-31,17,0.0615
2024-07-31,18,0.0609
2024-08-31,2,0.0862
2024-08-31,3,0.1095
2024-08-31,4,0.1288
2024-08-31,5,0.1424
2024-08-31,6,0.1524
2024-08-31,7,0.16
2024-08-31,8,0.1626
2024-08-31,9,0.164
2024-08-31,10,0.1645
2024-08-31,11,0.1644
2024-08-31,12,0.1638
2024-08-31,13,0.1629
2024-08-31,14,0.1608
2024-08-31,15,0.1553
2024-08-31,16,0.1496
2024-08-31,17,0.1479
2024-08-31,18,0.1464
2024-09-30,2,0.0761
2024-09-30,3,0.0894
2024-09-30,4,0.1024
2024-09-30,5,0.1149
2024-09-30,6,0.1262
2024-09-30,7,0.1322
2024-09-30,8,0.1353
2024-09-30,9,0.1372
2024-09-30,10,0.1384
2024-09-30,11,0.1385
2024-09-30,12,0.1391
2024-09-30,13,0.138
2024-09-30,14,0.1348
2024-09-30,15,0.1309
2024-09-30,16,0.1297
2024-09-30,17,0.1283
2024-09-30,18,0.1263
2024-10-31,2,0.0793
2024-10-31,3,0.0936
2024-10-31,4,0.1101
2024-10-31,5,0.1204
2024-10-31,6,0.1288
2024-10-31,7,0.1376
2024-10-31,8,0.1424
2024-10-31,9,0.1433
2024-10-31,10,0.1439
2024-10-31,11,0.1433
2024-10-31,12,0.1426
2024-10-31,13,0.1397
2024-10-31,14,0.1341
2024-10-31,15,0.1323
2024-10-31,16,0.1309
2024-10-31,17,0.1281
2024-10-31,18,0.127
2024-11-30,2,0.0862
2024-11-30,3,0.0985
2024-11-30,4,0.1123
2024-11-30,5,0.1201
2024-11-30,6,0.1249
2024-11-30,7,0.1295
2024-11-30,8,0.1305
2024-11-30,9,0.1301
2024-11-30,10,0.1294
2024-11-30,11,0.1294
2024-11-30,12,0.1273
2024-11-30,13,0.1238
2024-11-30,14,0.1224
2024-11-30,15,0.1208
2024-11-30,16,0.1186
2024-11-30,17,0.1175
2024-11-30,18,0.1168
2024-12-31,2,0.0888
2024-12-31,3,0.0994
2024-12-31,4,0.1108
2024-12-31,5,0.1185
2024-12-31,6,0.1245
2024-12-31,7,0.127
2024-12-31,8,0.1285
2024-12-31,9,0.1288
2024-12-31,10,0.1286
2024-12-31,11,0.1269
2024-12-31,12,0.1247
2024-12-31,13,0.1238
2024-12-31,14,0.1226
2024-12-31,15,0.1196
2024-12-31,16,0.1183
2024-12-31,17,0.1177
2024-12-31,18,0.0865
2025-01-31,2,0.0803
2025-01-31,3,0.0927
2025-01-31,4,0.1067
2025-01-31,5,0.1156
2025-01-31,6,0.1234
2025-01-31,7,0.1281
2025-01-31,8,0.1317
2025-01-31,9,0.1324
2025-01-31,10,0.1325
2025-01-31,11,0.1284
2025-01-31,12,0.1279
2025-01-31,13,0.1276
2025-01-31,14,0.1263
