Credit_Creation_Month,MOB,OVER_30
2024-08-31,18,0.0537
2024-09-30,2,0.062
2024-09-30,3,0.0724
2024-09-30,4,0.0779
2024-09-30,5,0.0812
2024-09-30,6,0.0822
2024-09-30,7,0.0825
2024-09-30,8,0.0828
2024-09-30,9,0.0828
2024-09-30,10,0.0819
2024-09-30,11,0.0811
2024-09-30,12,0.0799
2024-09-30,13,0.0784
2024-09-30,14,0.0724
2024-09-30,15,0.067
2024-09-30,16,0.0658
2024-09-30,17,0.0646
2024-09-30,18,0.0622
2024-10-31,2,0.0575
2024-10-31,3,0.0702
2024-10-31,4,0.0752
2024-10-31,5,0.077
2024-10-31,6,0.0778
2024-10-31,7,0.078
2024-10-31,8,0.0776
2024-10-31,9,0.0765
2024-10-31,10,0.0758
2024-10-31,11,0.0748
2024-10-31,12,0.0733
2024-10-31,13,0.0676
2024-10-31,14,0.0625
2024-10-31,15,0.0612
2024-10-31,16,0.06
2024-10-31,17,0.0578
2024-10-31,18,0.057
2024-11-30,2,0.0566
2024-11-30,3,0.0705
2024-11-30,4,0.0759
2024-11-30,5,0.078
2024-11-30,6,0.0787
2024-11-30,7,0.0787
2024-11-30,8,0.0778
2024-11-30,9,0.0771
2024-11-30,10,0.0763
2024-11-30,11,0.075
2024-11-30,12,0.0699
2024-11-30,13,0.0647
2024-11-30,14,0.0633
2024-11-30,15,0.0618
2024-11-30,16,0.0592
2024-11-30,17,0.0583
2024-11-30,18,0.0573
2024-12-31,2,0.0693
2024-12-31,3,0.0837
2024-12-31,4,0.0882
2024-12-31,5,0.0903
2024-12-31,6,0.0909
2024-12-31,7,0.0902
2024-12-31,8,0.0893
2024-12-31,9,0.0882
2024-12-31,10,0.0868
2024-12-31,11,0.0808
2024-12-31,12,0.075
2024-12-31,13,0.0733
2024-12-31,14,0.0716
2024-12-31,15,0.0681
2024-12-31,16,0.0671
2024-12-31,17,0.0658
2024-12-31,18,0.0379
2025-01-31,2,0.0819
2025-01-31,3,0.0929
2025-01-31,4,0.0953
2025-01-31,5,0.095
2025-01-31,6,0.093
2025-01-31,7,0.0912
2025-01-31,8,0.0891
2025-01-31,9,0.087
2025-01-31,10,0.0812
2025-01-31,11,0.0748
2025-01-31,12,0.0732
2025-01-31,13,0.0713
2025-01-31,14,0.0672
2025-01-31,15,0.0659
2025-01-31,16,0.0645
2025-01-31,17,0.0404
2025-01-31,18,0.0076
2025-02-28,2,0.0702
2025-02-28,3,0.0838
2025-02-28,4,0.0888
2025-02-28,5,0.0912
2025-02-28,6,0.0919
2025-02-28,7,0.0919
2025-02-28,8,0.091
2025-02-28,9,0.0881
2025-02-28,10,0.0821
2025-02-28,11,0.0808
2025-02-28,12,0.0793
2025-02-28,13,0.0749
2025-02-28,14,0.0736
2025-02-28,15,0.0719
2025-02-28,16,0.0417
2025-02-28,17,0.0128
2025-03-31,2,0.0702
2025-03-31,3,0.0827
2025-03-31,4,0.0878
2025-03-31,5,0.0895
2025-03-31,6,0.0893
2025-03-31,7,0.0883
2025-03-31,8,0.0851
2025-03-31,9,0.0801
2025-03-31,10,0.0786
2025-03-31,11,0.077
2025-03-31,12,0.0731
2025-03-31,13,0.0718
2025-03-31,14,0.0701
2025-03-31,15,0.0399
2025-03-31,16,0.0109
2025-04-30,2,0.066
2025-04-30,3,0.0807
2025-04-30,4,0.0862
2025-04-30,5,0.0885
2025-04-30,6,0.0887
2025-04-30,7,0.0858
2025-04-30,8,0.0807
2025-04-30,9,0.0792
2025-04-30,10,0.0776
2025-04-30,11,0.0738
2025-04-30,12,0.0726
2025-04-30,13,0.0711
2025-04-30,14,0.0387
2025-04-30,15,0.0131
2025-05-31,2,0.0618
2025-05-31,3,0.0815
2025-05-31,4,0.0899
2025-05-31,5,0.0932
2025-05-31,6,0.0932
2025-05-31,7,0.0902
2025-05-31,8,0.0887
2025-05-31,9,0.0876
2025-05-31,10,0.0843
2025-05-31,11,0.0831
2025-05-31,12,0.0815
2025-05-31,13,0.0439
2025-05-31,14,0.0146
2025-06-30,2,0.0698
2025-06-30,3,0.0943
2025-06-30,4,0.1088
2025-06-30,5,0.1157
2025-06-30,6,0.119
2025-06-30,7,0.1209
2025-06-30,8,0.1224
2025-06-30,9,0.1214
2025-06-30,10,0.1211
2025-06-30,11,0.1197
2025-06-30,12,0.0679
2025-06-30,13,0.0242
2025-07-31,2,0.0624
2025-07-31,3,0.0922
2025-07-31,4,0.1162
2025-07-31,5,0.1336
2025-07-31,6,0.1475
2025-07-31,7,0.1589
2025-07-31,8,0.1637
2025-07-31,9,0.1705
2025-07-31,10,0.173
2025-07-31,11,0.1488
2025-07-31,12,0.0826
2025-08-31,2,0.0514
2025-08-31,3,0.0746
2025-08-31,4,0.0888
2025-08-31,5,0.0992
2025-08-31,6,0.1083
2025-08-31,7,0.1131
2025-08-31,8,0.118
2025-08-31,9,0.1199
2025-08-31,10,0.1049
2025-08-31,11,0.0511
2025-09-30,2,0.0598
2025-09-30,3,0.0812
2025-09-30,4,0.0886
2025-09-30,5,0.0906
2025-09-30,6,0.0899
2025-09-30,7,0.0888
2025-09-30,8,0.0872
2025-09-30,9,0.0755
2025-09-30,10,0.0173
2025-10-31,2,0.0666
2025-10-31,3,0.0878
2025-10-31,4,0.0991
2025-10-31,5,0.103
2025-10-31,6,0.1077
2025-10-31,7,0.1089
2025-10-31,8,0.1011
2025-10-31,9,0.0392
2025-11-30,2,0.0548
2025-11-30,3,0.0752
2025-11-30,4,0.0834
2025-11-30,5,0.0914
2025-11-30,6,0.0951
2025-11-30,7,0.0853
2025-11-30,8,0.0415
2025-12-31,2,0.0623
2025-12-31,3,0.0799
2025-12-31,4,0.0977
2025-12-31,5,0.1042
2025-12-31,6,0.0884
2025-12-31,7,0.0531
2026-01-31,2,0.0487
2026-01-31,3,0.0877
2026-01-31,4,0.102
2026-01-31,5,0.0831
2026-01-31,6,0.0817
2026-02-28,2,0.0637
2026-02-28,3,0.0847
2026-02-28,4,0.0673
2026-02-28,5,0.0725
2026-03-31,2,0.061
2026-03-31,3,0.0623
2026-03-31,4,0.0735
2026-04-30,2,0.0494
2026-04-30,3,0.0704
2026-05-31,2,0.0612
